Finnish,English,Pre / Post,Rection,Last reviewed,Next review,Interval,Correct?,Times correct,Times incorrect
anteeksi,excuse me,,,2019-02-23 14:20:55.642625,2019-02-24 23:56:55.644935,1 days 09:36:00,True,1,0
kanssa,with,post,genetive,2019-02-22 15:35:43.242138,2019-02-24 01:11:43.245301,1 days 09:36:00,True,1,0
kerran,once,,,2019-02-23 11:18:51.109302,2019-02-26 09:52:27.111923,2 days 22:33:35.999999,True,3,0
kyllä,yes,,,2019-02-23 14:20:49.208601,2019-02-24 23:56:49.210895,1 days 09:36:00,True,1,0
liian,too (much),,,2019-02-23 11:17:13.165695,2019-02-25 10:19:37.168781,1 days 23:02:24,True,2,0
missä,where,,,2019-02-22 15:28:47.775453,2019-02-24 01:04:47.778609,1 days 09:36:00,True,1,0
mistä,from where,,,2019-02-23 14:21:20.974565,2019-02-24 23:57:20.977344,1 days 09:36:00,True,1,0
näin,so,,,2019-02-22 14:27:43.434691,2019-02-24 00:03:43.437701,1 days 09:36:00,True,3,1
paljon,"much, a lot",,,2019-02-22 15:34:57.924234,2019-02-24 01:10:57.927353,1 days 09:36:00,True,1,0
tosi,"really, very",,,2019-02-22 15:35:04.466428,2019-02-24 01:11:04.469547,1 days 09:36:00,True,1,0
tässä,here (specific),,,2019-02-22 15:33:36.208239,2019-02-24 01:09:36.211316,1 days 09:36:00,True,1,0
täällä,here (general),,,2019-02-22 15:32:24.249058,2019-02-24 01:08:24.252136,1 days 09:36:00,True,1,0
aina,always,,,2019-02-23 23:12:19.306216,2019-02-23 23:12:19.306493,1 days 00:00:00,True,0,0
